11.07.2017,5096124229.64,29.51,1937.64
12.07.2017,5121904298.34,30.29,1954.39
13.07.2017,5119739183.34,30.85,1959.91
14.07.2017,5081421873.79,30.86,1960.69
17.07.2017,5192011855.17,30.24,1959.11
18.07.2017,4675721004.87,30.52,1947.71
19.07.2017,4710247660.67,30.87,1951.89
20.07.2017,4366214369.05,30.91,1946.51
21.07.2017,4459033308.48,30.73,1925.13
24.07.2017,4557419737.10,31.13,1931.75
25.07.2017,4495672188.78,31.65,1923.73
26.07.2017,4441551920.68,31.37,1933.1
27.07.2017,4523822300.85,31.53,1945.12
28.07.2017,4435498275.92,32.07,1916.75
31.07.2017,4400369938.22,31.7,1919.53
01.08.2017,4405621657.19,32.36,1940.14
02.08.2017,4701893202.41,32.21,1965.48
03.08.2017,4912596923.23,32.47,1965.29
04.08.2017,4891668122.70,32.17,1953.49
07.08.2017,4878076244.69,32.39,1970.37
08.08.2017,4873081461.24,31.15,1989.61
09.08.2017,4857300243.39,31.61,1975.91
10.08.2017,4548824802.57,31.98,1960.23
11.08.2017,4563692332.82,32.91,1944.83
14.08.2017,4550959645.15,33.07,1951.75
15.08.2017,4543755829.91,32.63,1950.28
16.08.2017,4333671438.37,32.54,1942.88
17.08.2017,4327014296.42,31.99,1941.52
18.08.2017,4274594324.80,32.42,1930.71
21.08.2017,4275777243.19,32.73,1937.66
22.08.2017,4448611540.44,32.36,1947.4
23.08.2017,4384303359.88,32.31,1958.52
24.08.2017,4346775156.59,32.43,1973.5
25.08.2017,4331086989.51,32.19,1979.14
28.08.2017,4314815839.77,32.37,1987.15
29.08.2017,4336181193.74,32.04,1989.12
30.08.2017,4542261621.64,33.12,2008.88
31.08.2017,4544212720.62,32.93,2022.22
01.09.2017,4666177500.61,32.64,2010.98
04.09.2017,4878126009.43,32.66,2003.32
05.09.2017,4798536916.58,33.07,2004.02
06.09.2017,4727567005.70,33.26,2014.6
07.09.2017,4725584364.70,32.76,2010.17
08.09.2017,4656062428.16,32.68,2032.75
11.09.2017,4834351622.45,33.37,2044.13
12.09.2017,4835815106.62,32.81,2058.8
13.09.2017,4688109605.41,32.68,2054.19
14.09.2017,4683105172.16,33.21,2052.25
18.09.2017,4374083270.57,32.74,2059.08
19.09.2017,4631692904.62,32.48,2048.99
20.09.2017,4531710796.33,32.04,2057.53
21.09.2017,4614464425.78,32.48,2060.24
22.09.2017,4708565501.88,31.73,2051.63
25.09.2017,4682268492.02,31.46,2069.11
26.09.2017,4846833246.09,31.37,2071.13
27.09.2017,4837551214.70,31.46,2081.12
28.09.2017,4938212221.87,31.5,2071.64
29.09.2017,4622714431.32,31.6,2077.19
